asset_number,asset_description,manufacturer,model_number,serial_number,facility,department,purchase_date,install_date,support_end_date,operating_system,ip_address,mac_address,device_status,replacement_cost,risk_score
ASSET-000014,Surgical Lights,Berchtold,BER-8007,SF-51462704,Jerome,OR (Operating Room),2016-02-23,2016-03-14,2031-10-18,Windows 11,192.168.94.231,,Loaner,24747.96,68.58
ASSET-000015,CT Scanners,Hitachi,HIT-7658,FT-81489325,North Canyon,Imaging (Radiology),2018-03-26,2018-04-18,2028-12-11,,192.168.172.222,7f:88:51:37:c3:13,Retired,115104.69,63.17
ASSET-000016,Microscopes,Leica,LEI-4652,KH-80957015,Boise,Lab,2021-06-09,2021-06-18,2028-11-17,Custom OS,192.168.241.8,85:5b:87:13:37:de,Active,394281.95,44.36
ASSET-000017,MRI,Canon,CAN-4114,EE-03911718,Twin Falls,OR (Operating Room),2021-01-17,2021-03-27,2032-12-22,Embedded Linux,192.168.171.236,a0:3f:99:9e:d1:a7,Active,151349.33,41.27
ASSET-000018,Dialysis,DaVita,DAV-5930,TG-78248963,Eagle,Neuro,2015-05-10,2015-06-06,2030-11-11,Embedded Linux,192.168.131.122,,Loaner,369300.92,76.59
ASSET-000019,Dialysis,Gambro,GAM-6491,HC-46578713,Meridian,Lab,2019-04-26,2019-05-22,2026-01-08,,192.168.197.19,63:c4:fd:cc:7c:4b,Active,7744.68,87.51
ASSET-000020,Dehumidifiers,Carel,CAR-4585,CB-50983930,Nampa,Neuro,2022-01-18,2022-02-19,2028-03-26,VxWorks,,e2:da:e4:51:f3:e6,Active,127383.67,56.38
ASSET-000021,Dialysis,DaVita,DAV-5499,RG-31051834,Fruitland,ICU (Intensive Care),2019-04-09,2019-05-22,2029-03-05,QNX,192.168.55.17,a9:ee:d4:1f:69:d7,Active,386048.91,59.46
ASSET-000022,Defibrillators,Philips,PHI-6763,GD-82997376,Twin Falls,Med/Surg,2021-09-24,2021-12-03,2031-08-08,Embedded Linux,192.168.87.172,cf:54:ef:41:0d:c9,Active,333184.88,40.84
ASSET-000023,Ventilators,Drager,DRA-5262,BN-16566701,Eagle,Emergency,2018-08-11,2018-09-24,2029-07-09,,192.168.192.139,b3:72:23:14:0f:7e,Active,15088.11,56.52
ASSET-000024,Cardiac Devices,Boston Scientific,BOS-8619,PF-51333872,Elmore,Cardiac Care,2020-03-20,2020-06-06,2030-03-10,Windows 10,,c0:cb:65:26:7c:34,Active,154283.43,51.84
ASSET-000025,CT Scanners,Hitachi,HIT-8018,TA-47317810,Wood River,Emergency,2016-09-21,2016-11-04,2026-07-27,Embedded Linux,,eb:4e:de:5a:8a:f7,Active,413738.63,100.0
ASSET-000026,Microscopes,Zeiss,ZEI-5569,BF-13267736,Fruitland,Lab,2022-10-20,2023-01-14,2028-06-06,Windows Server 2019,192.168.88.72,,Active,141752.94,45.1
ASSET-000027,Patient Monitors,Edan,EDA-7658,RE-60647468,Fruitland,Neuro,2018-12-16,2019-03-09,2029-01-03,Embedded Linux,192.168.79.170,f2:b0:d9:a9:b4:e8,Active,129444.82,51.21
ASSET-000028,Surgical Lights,Daray,DAR-4033,BB-34309805,Magic Valley,Lab,2022-05-24,2022-08-08,2029-05-04,,192.168.93.46,40:8c:17:1b:95:40,Active,377632.13,36.03
ASSET-000029,Defibrillators,Cardiac Science,CAR-8216,FC-97882081,McCall,Imaging (Radiology),2015-05-28,2015-07-29,2026-02-13,VxWorks,192.168.14.39,9b:2b:7f:3c:d5:73,Active,193287.12,100.0
ASSET-000030,MRI,Philips,PHI-1986,BC-91361939,North Canyon,ICU (Intensive Care),2018-11-07,2018-12-11,2028-03-18,Windows 10,192.168.177.153,10:76:93:90:e8:24,Active,462335.97,77.88
ASSET-000031,MRI,GE Healthcare,GE -9922,HJ-69985435,Magic Valley,Imaging (Radiology),2019-03-03,2019-03-11,2027-05-20,,192.168.74.113,9b:ce:8b:fc:e0:29,Active,445264.33,87.35
ASSET-000032,Infusion Pumps,Medtronic,MED-1339,DC-62475107,Wood River,Cardiac Care,2015-03-16,2015-05-22,2031-03-19,Custom OS,192.168.24.121,aa:a4:35:52:a8:d2,Active,147667.81,79.45
ASSET-000033,Defibrillators,Philips,PHI-6153,MK-83842513,Twin Falls,Emergency,2016-07-28,2016-10-02,2028-09-15,Windows 11,192.168.160.194,e2:1a:68:88:43:93,Active,350633.76,66.21
ASSET-000034,Surgical Lights,Welch Allyn,WEL-6091,KD-27849808,Jerome,OR (Operating Room),2023-07-03,2023-08-01,2031-08-04,Windows 11,192.168.184.75,8b:d4:f7:f1:7c:e9,Active,194875.08,39.22
ASSET-000035,Microscopes,Zeiss,ZEI-5526,GL-24118244,Eagle,Emergency,2023-05-27,2023-05-28,2027-05-27,QNX,192.168.39.115,b0:aa:c1:e9:a4:60,Loaner,123208.74,63.83
ASSET-000036,Anesthesia Machines,Mindray,MIN-8749,JB-34874016,Elmore,Med/Surg,2021-11-26,2022-02-18,2029-01-05,VxWorks,192.168.26.224,,Active,455668.63,35.15
ASSET-000037,Infusion Pumps,B. Braun,B. -5342,TA-05242786,McCall,OB/GYN,2021-11-03,2021-12-16,2031-07-11,Custom OS,192.168.139.10,78:93:74:2e:de:32,Active,353425.96,41.01
ASSET-000038,Lighting Systems,Surgical Care Industries,SUR-1753,EP-11280598,McCall,OR (Operating Room),2019-06-12,2019-08-07,2026-09-14,Custom OS,192.168.45.21,c3:7b:fe:49:76:ec,Active,232487.4,86.67
ASSET-000039,Lighting Systems,Steris,STE-9955,DM-20450533,Nampa,ICU (Intensive Care),2022-06-19,2022-07-28,2029-05-15,,192.168.99.219,79:c3:b7:97:97:0b,Loaner,330823.76,37.74
ASSET-000040,Lighting Systems,Brüel & Kjaer,BRÜ-9138,AF-86923226,Twin Falls,Lab,2020-04-21,2020-05-16,2030-12-25,Custom OS,192.168.25.232,14:9e:e1:11:ba:43,Active,151079.67,52.47
ASSET-000041,Dehumidifiers,Honeywell,HON-6994,RH-56342160,Jerome,Neuro,2019-03-09,2019-05-10,2028-06-26,Windows 10,192.168.248.58,,Active,490071.41,74.67
ASSET-000042,Infusion Pumps,B. Braun,B. -1228,NL-37543303,Twin Falls,Neuro,2016-08-12,2016-11-07,2028-07-27,Windows Server 2019,192.168.60.121,a7:71:20:ed:9a:d1,Active,27446.67,80.37
ASSET-000043,Infusion Pumps,Medtronic,MED-9807,AD-41458685,Nampa,Med/Surg,2022-06-22,2022-09-20,2029-12-24,Embedded Linux,192.168.214.126,8f:10:bd:6f:e3:e3,Loaner,428447.85,35.99
ASSET-000044,Anesthesia Machines,Philips,PHI-5520,ML-42940196,Magic Valley,ICU (Intensive Care),2022-02-22,2022-03-22,2030-01-02,,192.168.33.202,23:6a:6e:77:a8:4b,Active,300010.91,37.77
ASSET-000045,Vital Signs Monitors,Mindray,MIN-3858,BP-69816934,Meridian,OR (Operating Room),2017-01-12,2017-02-12,2028-05-02,Embedded Linux,192.168.191.17,b9:37:e7:71:16:9a,Active,482192.96,75.61
ASSET-000046,MRI,GE Healthcare,GE -9032,LD-08835615,Elmore,Recovery,2016-02-11,2016-04-29,2026-03-09,VxWorks,192.168.84.98,,Active,229589.13,100.0
ASSET-000047,Microscopes,Leica,LEI-8046,EG-48465648,Fruitland,Lab,2021-06-27,2021-08-25,2030-06-14,Windows Server 2019,192.168.40.176,,Active,416727.08,40.93
ASSET-000048,Dehumidifiers,Condair,CON-1982,AK-66299468,North Canyon,Neuro,2023-06-22,2023-07-08,2031-07-28,,192.168.74.154,35:6c:4f:f6:72:37,Active,280351.41,31.15
ASSET-000049,Dehumidifiers,Carel,CAR-1430,QG-43699577,North Canyon,Cardiac Care,2015-03-09,2015-06-07,2032-06-01,Windows 11,192.168.103.18,0f:2e:6e:c0:d6:e8,Active,188176.28,77.22
ASSET-000050,Lighting Systems,Surgical Care Industries,SUR-3549,CH-87214895,Nampa,OB/GYN,2015-11-03,2015-12-08,2029-10-15,Windows 11,192.168.30.89,91:f9:9d:17:70:ca,Loaner,32117.07,72.04
ASSET-000051,Dehumidifiers,Carel,CAR-5742,CQ-43320037,McCall,ICU (Intensive Care),2015-08-24,2015-10-19,2027-07-18,,192.168.214.172,,Active,431573.36,100.0
ASSET-000052,Microscopes,Nikon,NIK-8033,AD-69367632,North Canyon,Med/Surg,2021-05-04,2021-06-25,2026-06-06,,192.168.213.177,,Active,423019.76,72.43
ASSET-000053,MRI,Philips,PHI-6562,DQ-63287083,Magic Valley,Emergency,2017-02-17,2017-05-10,2026-09-07,,192.168.187.246,,Active,121953.08,91.46
ASSET-000054,Dehumidifiers,Honeywell,HON-2234,SP-27889579,Nampa,Recovery,2022-10-25,2023-01-08,2032-10-21,VxWorks,192.168.249.161,e1:22:f0:e2:9b:8c,Active,179211.4,30.74
ASSET-000055,Anesthesia Machines,Mindray,MIN-5703,SR-87277434,Meridian,ICU (Intensive Care),2023-07-15,2023-09-28,2030-01-15,,192.168.49.83,4d:1f:e6:34:af:2b,Active,90416.66,32.48
ASSET-000056,Vital Signs Monitors,Spacelabs,SPA-3600,LT-34714345,McCall,Emergency,2019-07-14,2019-08-27,2028-11-21,Windows Server 2019,192.168.174.99,4c:aa:29:48:b3:9e,Loaner,350747.58,53.92
ASSET-000057,Ultrasound,Sonosite,SON-7171,PP-12236231,Wood River,Emergency,2017-11-23,2018-02-19,2028-11-14,Windows 10,192.168.47.244,f8:62:73:46:4f:27,Active,395119.49,60.08
ASSET-000058,Dialysis,Nxstage,NXS-3147,AN-58760366,North Canyon,Med/Surg,2017-03-06,2017-06-03,2031-03-24,Embedded Linux,192.168.185.61,,Active,377433.63,67.84
ASSET-000059,Ultrasound,Canon,CAN-4178,HR-70546688,McCall,OB/GYN,2022-08-25,2022-10-01,2029-07-06,,,80:1a:f6:be:34:3f,Active,382742.83,37.73
ASSET-000060,Microscopes,Olympus,OLY-2502,FQ-34670656,Magic Valley,Recovery,2020-01-14,2020-01-21,2029-07-03,Windows 10,192.168.26.215,ab:4a:46:13:92:f1,Active,73702.38,52.06
ASSET-000061,Lighting Systems,Surgical Care Industries,SUR-1311,CP-29806990,Twin Falls,Lab,2017-09-24,2017-12-11,2028-05-08,Windows 10,192.168.164.204,20:38:ff:08:7b:49,Active,5774.35,78.53
ASSET-000062,Dialysis,Fresenius,FRE-9576,QL-27204653,McCall,ICU (Intensive Care),2023-09-17,2023-11-21,2029-08-02,Windows Server 2019,192.168.5.92,,Active,367805.81,36.28
ASSET-000063,Ventilators,Drager,DRA-6772,TB-56464170,Jerome,Emergency,2017-11-15,2018-02-13,2027-03-26,QNX,192.168.118.10,16:66:15:a1:9e:cb,Loaner,273800.2,87.53
ASSET-000064,Ultrasound,Philips,PHI-1783,EH-53100330,Wood River,Emergency,2019-02-26,2019-04-15,2029-08-13,Windows 11,192.168.128.95,,Active,401568.3,57.27
ASSET-000065,Vital Signs Monitors,Mindray,MIN-6262,FD-27193745,Meridian,ICU (Intensive Care),2020-11-10,2020-12-20,2030-03-23,Embedded Linux,192.168.223.234,de:8c:1d:26:cf:ba,Active,376199.5,46.6
ASSET-000066,Anesthesia Machines,GE Healthcare,GE -2101,NG-24190496,Magic Valley,Emergency,2020-07-19,2020-07-24,2030-06-12,Windows 10,192.168.136.94,8e:7f:3a:0d:5f:ff,Active,457203.54,46.18
ASSET-000067,Patient Monitors,Mortara,MOR-5678,BM-19314919,Elmore,Recovery,2018-02-05,2018-02-15,2031-08-03,,,,Active,356222.54,60.5
ASSET-000068,Microscopes,Leica,LEI-3852,RD-86518506,McCall,Neuro,2018-02-07,2018-02-25,2027-08-01,VxWorks,192.168.206.252,2c:21:9e:cb:f5:d2,Active,412553.0,85.74
ASSET-000069,Defibrillators,Cardiac Science,CAR-9476,TR-65726284,McCall,Imaging (Radiology),2023-11-19,2023-12-13,2028-09-28,Windows 10,192.168.78.43,73:b1:91:28:80:64,Active,277666.5,31.25
ASSET-000070,Infusion Pumps,JMS,JMS-3762,QH-76945314,North Canyon,OB/GYN,2017-03-22,2017-06-10,2030-10-02,,192.168.12.243,87:6b:d5:0f:fe:94,Active,154536.59,62.45
ASSET-000071,Ultrasound,Canon,CAN-2195,FR-79965075,Elmore,OR (Operating Room),2017-08-14,2017-10-15,2029-03-11,,192.168.253.221,cc:42:bd:36:a3:7b,Active,137398.48,62.48
ASSET-000072,MRI,Canon,CAN-7850,AS-35454948,Magic Valley,Imaging (Radiology),2020-10-24,2020-12-04,2027-03-16,,192.168.226.79,2e:c9:ea:7b:6e:b4,Active,144271.39,80.98
ASSET-000073,Ultrasound,Sonosite,SON-1133,RQ-31367837,Meridian,Med/Surg,2017-05-24,2017-07-10,2029-07-02,Windows 11,192.168.74.19,e6:8f:3c:41:31:c9,Active,493459.89,65.58
ASSET-000074,Patient Monitors,Mortara,MOR-9341,MR-01436349,Eagle,Neuro,2015-01-02,2015-01-20,2031-09-15,VxWorks,192.168.239.157,c9:99:ac:fa:99:f3,Active,187337.12,76.74
ASSET-000075,Dehumidifiers,Honeywell,HON-1436,JK-88568557,North Canyon,Recovery,2019-11-26,2020-02-09,2030-10-16,QNX,192.168.199.216,7c:10:38:61:09:e1,Active,79958.47,51.91
ASSET-000076,Lighting Systems,Steris,STE-2020,GG-43135182,Elmore,Imaging (Radiology),2023-04-18,2023-05-30,2029-07-11,,192.168.137.88,87:f7:62:7e:8e:98,Active,486590.76,32.98
ASSET-000077,Surgical Lights,Berchtold,BER-6194,KH-74989413,Fruitland,Emergency,2023-12-09,2024-01-15,2026-11-18,Embedded Linux,,,Active,148774.06,57.88
ASSET-000078,Lighting Systems,Steris,STE-5201,BT-52408240,Elmore,Recovery,2018-04-27,2018-07-05,2027-09-23,Windows 10,192.168.151.62,73:77:1a:33:d3:a9,Active,54769.73,77.71
ASSET-000079,Lighting Systems,Surgical Care Industries,SUR-7666,RQ-42710947,Wood River,Recovery,2022-11-07,2022-12-14,2030-02-21,VxWorks,192.168.218.240,59:d5:5a:12:cb:fd,Active,375756.58,43.72
ASSET-000080,Anesthesia Machines,Mindray,MIN-2758,RC-52047116,McCall,Cardiac Care,2022-11-18,2023-01-25,2027-03-28,Windows Server 2019,192.168.29.85,ea:83:5f:07:ac:97,Active,379854.96,61.75
ASSET-000081,Microscopes,Olympus,OLY-9442,DT-90229413,McCall,ICU (Intensive Care),2021-11-04,2021-11-28,2029-04-01,Windows 11,192.168.69.245,05:85:b8:78:1f:3c,Active,84059.83,46.86
ASSET-000082,Surgical Lights,Steris,STE-5833,QK-69993867,McCall,OB/GYN,2018-04-05,2018-06-06,2027-12-20,QNX,192.168.121.194,6f:7e:29:e4:b9:27,Retired,60543.35,78.29
ASSET-000083,Cardiac Devices,LivaNova,LIV-3455,GG-96499091,Nampa,Emergency,2023-08-04,2023-10-31,2027-10-16,VxWorks,192.168.15.117,d4:e9:1d:ec:9d:0b,Active,409144.35,52.46
ASSET-000084,MRI,Philips,PHI-2044,AP-41232812,Jerome,OR (Operating Room),2016-08-02,2016-09-08,2030-11-24,Embedded Linux,192.168.229.98,c1:c0:29:44:b2:3c,Active,270942.95,70.29
ASSET-000085,Microscopes,Zeiss,ZEI-1372,QC-79740344,Twin Falls,Recovery,2023-07-18,2023-09-05,2028-06-05,QNX,192.168.9.208,08:7b:69:22:33:11,Active,337651.7,53.72
ASSET-000086,MRI,Hitachi,HIT-4839,EJ-34936183,Jerome,Lab,2015-03-17,2015-04-24,2027-12-19,VxWorks,192.168.210.83,49:71:d3:99:8c:1f,Active,297875.23,92.35
ASSET-000087,Vital Signs Monitors,Edan,EDA-1768,QD-21024994,McCall,Med/Surg,2023-06-23,2023-08-16,2028-03-25,Windows 11,,49:ed:1d:d3:d5:44,Active,131222.84,48.3
ASSET-000088,Microscopes,Nikon,NIK-2514,CB-74648877,Jerome,Lab,2015-05-13,2015-08-08,2028-02-07,,192.168.172.144,6a:aa:9b:07:6c:61,Loaner,63071.52,95.0
ASSET-000089,Surgical Lights,Daray,DAR-4350,AJ-65940139,Eagle,Lab,2023-06-25,2023-08-01,2029-06-10,VxWorks,,f0:a3:68:bd:a0:d3,Active,432722.0,37.41
ASSET-000090,Lighting Systems,Brüel & Kjaer,BRÜ-7841,PR-90278742,Twin Falls,Imaging (Radiology),2018-06-08,2018-07-27,2028-09-21,,192.168.196.211,fb:eb:56:b4:56:47,Active,246716.58,64.17
ASSET-000091,Vital Signs Monitors,Philips,PHI-2217,LP-17565512,Wood River,OR (Operating Room),2015-07-05,2015-09-24,2027-12-05,VxWorks,192.168.16.159,f7:f9:08:03:d2:06,Active,362485.4,90.36
ASSET-000092,Microscopes,Olympus,OLY-3937,JL-74680715,Meridian,ICU (Intensive Care),2023-03-08,2023-04-02,2028-06-09,,192.168.246.104,7c:73:99:29:10:2f,Active,191698.94,49.76
ASSET-000093,Infusion Pumps,B. Braun,B. -8109,GS-16808760,Wood River,Emergency,2016-09-02,2016-10-02,2026-12-19,Windows 10,,8f:10:5b:a1:08:6a,Active,377365.96,100.0
ASSET-000094,Ultrasound,Siemens,SIE-4939,EK-59770348,North Canyon,Med/Surg,2023-06-13,2023-07-01,2030-02-17,,192.168.26.112,26:ae:cb:a7:0f:8b,Active,228022.35,32.28
ASSET-000095,MRI,Siemens,SIE-7227,TA-77109324,Meridian,OB/GYN,2019-04-23,2019-05-03,2026-03-13,,192.168.190.100,36:2e:02:9d:e3:b8,Active,55604.55,80.87
ASSET-000096,Vital Signs Monitors,Spacelabs,SPA-7685,RK-86131712,Meridian,OR (Operating Room),2016-06-18,2016-06-30,2030-07-01,Embedded Linux,192.168.186.231,7c:56:c2:56:47:89,Active,249096.35,65.63
ASSET-000097,Ultrasound,Canon,CAN-2260,EN-84677378,McCall,Cardiac Care,2018-12-21,2019-02-23,2028-02-05,Embedded Linux,192.168.159.98,,Active,170694.43,73.15
ASSET-000098,Ultrasound,Philips,PHI-4290,SJ-39821465,Fruitland,Emergency,2017-07-11,2017-08-18,2030-10-26,Embedded Linux,192.168.202.101,66:5c:0d:ec:6b:e0,Active,416484.5,60.69
ASSET-000099,Dialysis,Baxter,BAX-3280,TR-04499727,Wood River,Cardiac Care,2018-05-22,2018-06-11,2030-02-15,,192.168.103.137,d6:12:b8:2b:37:7f,Active,180729.37,61.47
ASSET-000100,Dehumidifiers,Carel,CAR-8052,HN-55886753,Meridian,OR (Operating Room),2016-05-08,2016-07-13,2030-12-19,Windows Server 2019,192.168.198.174,4d:b0:0c:f7:35:97,Active,481055.29,66.16
ASSET-000101,CT Scanners,Philips,PHI-6620,RB-36057662,Fruitland,Lab,2023-08-12,2023-10-12,2026-12-23,Windows 10,192.168.208.182,af:37:54:7c:59:51,Active,216052.84,64.62
ASSET-000102,Ventilators,VELA,VEL-8080,QA-28951718,Eagle,OR (Operating Room),2018-08-19,2018-10-13,2027-12-07,Custom OS,192.168.204.17,5f:bb:a6:64:ea:3a,Active,432005.09,75.28
ASSET-000103,Cardiac Devices,Biotronik,BIO-2871,NC-26217459,McCall,Emergency,2022-10-06,2023-01-01,2028-10-19,Windows 11,192.168.62.79,bf:48:c6:d6:46:c4,Active,245901.76,35.37
ASSET-000104,Vital Signs Monitors,GE Healthcare,GE -9022,CH-58657809,Twin Falls,Imaging (Radiology),2017-06-27,2017-08-24,2031-01-16,Custom OS,192.168.144.130,d1:fb:d4:e3:fa:55,Active,20276.05,67.61
ASSET-000105,Patient Monitors,Mortara,MOR-5729,KA-43161172,Nampa,Recovery,2022-09-17,2022-10-02,2028-09-27,,192.168.194.11,,Active,113178.26,39.25
ASSET-000106,Ultrasound,GE Healthcare,GE -8368,HS-05045562,Twin Falls,Emergency,2016-08-28,2016-09-13,2028-12-19,Custom OS,192.168.162.110,47:69:69:1e:b3:8f,Active,88346.8,74.79
ASSET-000107,Ultrasound,Sonosite,SON-2560,HR-69222196,Nampa,Med/Surg,2015-05-28,2015-08-20,2027-03-08,Windows Server 2019,,,Active,247282.07,100.0
ASSET-000108,MRI,Hitachi,HIT-2237,QK-92374740,Wood River,ICU (Intensive Care),2021-09-24,2021-10-30,2031-08-16,Windows 10,,,Active,486214.39,46.35
ASSET-000109,Dehumidifiers,Honeywell,HON-7516,JQ-82175946,Magic Valley,Med/Surg,2018-08-09,2018-09-20,2029-10-05,Embedded Linux,192.168.229.175,,Active,314958.86,63.37
ASSET-000110,Defibrillators,Cardiac Science,CAR-1011,MK-43671369,Eagle,Lab,2017-11-10,2017-12-01,2031-02-21,Windows 10,192.168.232.167,ca:9c:77:db:2e:30,Active,241019.32,61.33
ASSET-000111,Defibrillators,Philips,PHI-1132,RK-40640909,Elmore,Emergency,2016-07-23,2016-08-09,2028-02-24,,192.168.95.226,c3:44:49:23:04:54,Active,362603.85,86.28
ASSET-000112,Cardiac Devices,Biotronik,BIO-4559,DB-39533942,Meridian,ICU (Intensive Care),2017-02-19,2017-04-10,2029-03-08,Windows 10,192.168.154.154,91:0d:9a:69:60:c8,Active,32011.72,68.98
ASSET-000113,MRI,GE Healthcare,GE -4949,LP-47095214,Fruitland,OB/GYN,2016-09-01,2016-10-18,2028-10-14,QNX,192.168.121.245,,Active,295744.93,65.14
ASSET-000114,Dehumidifiers,Carel,CAR-9300,FJ-23285884,Twin Falls,Neuro,2021-07-23,2021-09-13,2026-09-18,Windows Server 2019,192.168.21.131,,Loaner,81911.68,73.27
ASSET-000115,Ultrasound,Mindray,MIN-8167,NT-74517123,Elmore,Lab,2015-04-03,2015-05-29,2027-10-20,QNX,192.168.190.45,46:05:53:fe:b1:84,Active,67830.65,92.81
ASSET-000116,Dehumidifiers,Condair,CON-6488,MJ-51604817,Eagle,Cardiac Care,2023-02-09,2023-04-24,2029-09-12,Custom OS,192.168.95.41,34:3b:74:01:16:06,Active,238523.47,33.83
ASSET-000117,Vital Signs Monitors,Edan,EDA-4678,TL-96513709,McCall,Lab,2021-12-11,2022-01-15,2030-02-17,Windows 10,192.168.206.133,,Loaner,39118.59,39.65
ASSET-000118,CT Scanners,GE Healthcare,GE -8483,BB-93174612,Boise,Emergency,2018-05-19,2018-06-27,2028-06-19,,,,Active,275546.83,77.96
ASSET-000119,Anesthesia Machines,GE Healthcare,GE -9872,QM-47113826,McCall,OR (Operating Room),2020-01-25,2020-04-19,2027-12-24,Windows 11,192.168.61.108,1e:48:8f:2f:16:76,Retired,262280.81,67.01
ASSET-000120,Infusion Pumps,JMS,JMS-2565,PJ-86926179,Jerome,Imaging (Radiology),2021-02-19,2021-05-03,2026-11-05,Windows Server 2019,,,Active,416790.42,73.26
ASSET-000121,Infusion Pumps,Medtronic,MED-3230,MT-05377351,North Canyon,ICU (Intensive Care),2017-02-06,2017-04-05,2027-07-04,Custom OS,192.168.79.119,3d:2e:50:9b:14:6e,Active,167257.86,90.91
ASSET-000122,MRI,Canon,CAN-1802,GA-50643171,Wood River,Cardiac Care,2019-03-01,2019-04-22,2030-09-08,Windows 10,,06:1f:71:42:65:cd,Active,316997.29,56.45
ASSET-000123,Lighting Systems,Surgical Care Industries,SUR-1357,GG-05329318,Meridian,Lab,2022-03-03,2022-04-15,2026-08-02,VxWorks,192.168.186.102,c3:da:58:b5:6d:5f,Active,225775.66,66.49
ASSET-000124,Dialysis,Nxstage,NXS-9173,TJ-35290422,Eagle,Neuro,2022-01-03,2022-02-08,2029-11-26,QNX,,09:c3:b7:f5:f8:b0,Retired,253684.66,38.88
ASSET-000125,Cardiac Devices,Boston Scientific,BOS-1480,LA-21020539,Twin Falls,OR (Operating Room),2022-09-12,2022-11-26,2032-02-08,Windows Server 2019,192.168.203.235,70:c6:b5:58:5a:79,Active,404074.06,41.98
ASSET-000126,Surgical Lights,Brüel & Kjaer,BRÜ-3328,RQ-24026811,North Canyon,Lab,2022-09-10,2022-10-03,2028-04-20,VxWorks,192.168.85.235,42:ae:5a:a5:1e:0b,Active,353824.69,51.42
ASSET-000127,Microscopes,Nikon,NIK-2188,BS-58917839,McCall,Med/Surg,2016-06-10,2016-07-22,2026-03-24,,192.168.246.125,59:b6:72:59:c1:9d,Active,150786.05,96.78
ASSET-000128,Microscopes,Zeiss,ZEI-3983,RQ-47007661,North Canyon,Emergency,2018-11-19,2018-12-03,2028-12-03,Windows Server 2019,192.168.227.247,ab:e4:05:87:6b:7f,Active,178488.18,62.87
ASSET-000129,MRI,Hitachi,HIT-7875,TL-11592124,Nampa,Med/Surg,2022-07-12,2022-09-20,2031-10-21,,192.168.116.19,,Active,14938.61,37.61
ASSET-000130,Ventilators,GE Healthcare,GE -3636,DD-69847896,Elmore,ICU (Intensive Care),2023-02-11,2023-04-29,2031-12-01,QNX,192.168.228.112,33:a9:69:61:d1:87,Active,152213.32,30.96
ASSET-000131,Microscopes,Olympus,OLY-3516,NP-83673657,Boise,Emergency,2015-07-03,2015-08-10,2030-08-07,Windows 11,192.168.75.251,3b:9d:cb:f1:fa:87,Active,274342.38,71.85
