work_order_id,asset_number,work_order_type,request_date,completion_date,technician_id,labor_hours,status
WO-00000045,ASSET-000008,Corrective,2025-11-19,2025-12-19,TECH-0049,2.79,Completed
WO-00000046,ASSET-000008,Corrective,2023-06-14,2023-07-13,TECH-0028,18.42,Completed
WO-00000047,ASSET-000008,Corrective,2025-05-18,2025-05-23,TECH-0045,11.78,Completed
WO-00000048,ASSET-000008,Preventive,2025-01-25,2025-02-13,TECH-0034,28.03,Completed
WO-00000049,ASSET-000009,Corrective,2026-04-08,2026-04-18,TECH-0009,19.46,Completed
WO-00000050,ASSET-000009,Recall,2025-02-07,2025-03-07,TECH-0033,36.86,Completed
WO-00000051,ASSET-000009,Recall,2025-05-26,2025-06-14,TECH-0018,17.45,Completed
WO-00000052,ASSET-000009,Corrective,2023-08-21,2023-08-22,TECH-0007,38.32,Completed
WO-00000053,ASSET-000009,Corrective,2026-05-20,2026-06-19,TECH-0034,14.12,Completed
WO-00000054,ASSET-000009,Preventive,2024-01-26,2024-02-19,TECH-0009,23.96,Completed
WO-00000055,ASSET-000009,Preventive,2026-05-16,2026-06-05,TECH-0049,7.55,Completed
WO-00000056,ASSET-000009,Recall,2024-10-28,,TECH-0039,21.33,In Progress
WO-00000057,ASSET-000009,Preventive,2024-05-10,2024-06-07,TECH-0026,13.81,Completed
WO-00000058,ASSET-000010,Preventive,2023-08-15,,TECH-0014,3.06,In Progress
WO-00000059,ASSET-000010,Corrective,2023-03-24,2023-04-07,TECH-0009,32.53,Completed
WO-00000060,ASSET-000010,Preventive,2026-06-04,2026-06-26,TECH-0036,32.39,Completed
WO-00000061,ASSET-000010,Corrective,2025-12-09,2025-12-13,TECH-0031,30.38,Completed
WO-00000062,ASSET-000010,Preventive,2026-03-19,2026-03-25,TECH-0047,35.98,Completed
WO-00000063,ASSET-000010,Corrective,2025-01-27,2025-01-28,TECH-0002,18.13,Completed
WO-00000064,ASSET-000011,Corrective,2023-12-09,2023-12-27,TECH-0013,31.64,Completed
WO-00000065,ASSET-000011,Corrective,2023-01-23,2023-01-31,TECH-0046,39.05,Completed
WO-00000066,ASSET-000011,Corrective,2024-07-08,2024-07-26,TECH-0021,4.57,Completed
WO-00000067,ASSET-000011,Recall,2026-11-22,2026-11-23,TECH-0040,3.24,Completed
WO-00000068,ASSET-000011,Corrective,2023-09-27,2023-10-11,TECH-0048,36.32,Completed
WO-00000069,ASSET-000011,Preventive,2024-10-05,2024-10-09,TECH-0005,25.82,Completed
WO-00000070,ASSET-000011,Inspection,2023-07-09,2023-07-15,TECH-0045,8.28,Completed
WO-00000071,ASSET-000012,Corrective,2026-05-01,2026-05-31,TECH-0027,18.53,Completed
WO-00000072,ASSET-000012,Corrective,2025-05-17,2025-06-10,TECH-0002,26.31,Completed
WO-00000073,ASSET-000012,Corrective,2024-08-15,2024-09-10,TECH-0009,39.42,Completed
WO-00000074,ASSET-000012,Corrective,2024-07-20,2024-08-13,TECH-0002,11.6,Completed
WO-00000075,ASSET-000013,Preventive,2025-12-01,2025-12-21,TECH-0023,25.17,Completed
WO-00000076,ASSET-000013,Preventive,2023-01-13,2023-02-05,TECH-0029,26.36,Completed
WO-00000077,ASSET-000013,Corrective,2025-05-03,2025-05-24,TECH-0011,39.26,Completed
WO-00000078,ASSET-000013,Preventive,2025-06-04,2025-06-29,TECH-0010,7.32,Completed
WO-00000079,ASSET-000013,Preventive,2024-12-15,2025-01-12,TECH-0029,30.57,Completed
WO-00000080,ASSET-000013,Preventive,2026-08-02,2026-08-17,TECH-0047,35.99,Completed
WO-00000081,ASSET-000013,Inspection,2025-09-25,2025-10-14,TECH-0046,35.36,Completed
WO-00000082,ASSET-000013,Preventive,2025-01-26,2025-02-12,TECH-0001,14.23,Completed
WO-00000083,ASSET-000013,Preventive,2026-11-27,2026-12-10,TECH-0007,8.18,Completed
WO-00000084,ASSET-000013,Corrective,2025-03-23,2025-04-09,TECH-0045,29.22,Completed
WO-00000085,ASSET-000014,Preventive,2026-12-16,2027-01-15,TECH-0015,17.66,Completed
WO-00000086,ASSET-000014,Inspection,2025-11-13,2025-12-01,TECH-0044,19.72,Completed
WO-00000087,ASSET-000014,Preventive,2026-07-27,2026-08-16,TECH-0022,32.01,Completed
WO-00000088,ASSET-000014,Preventive,2024-01-23,2024-02-19,TECH-0022,35.34,Completed
WO-00000089,ASSET-000014,Preventive,2025-06-10,2025-06-19,TECH-0005,9.44,Completed
WO-00000090,ASSET-000014,Preventive,2023-09-21,2023-10-09,TECH-0007,34.36,Completed
WO-00000091,ASSET-000014,Corrective,2025-11-21,2025-12-14,TECH-0040,31.17,Completed
WO-00000092,ASSET-000014,Recall,2023-12-23,2024-01-03,TECH-0044,2.94,Completed
WO-00000093,ASSET-000014,Recall,2025-03-25,,TECH-0012,23.04,Open
WO-00000094,ASSET-000014,Preventive,2024-06-02,2024-06-20,TECH-0026,32.62,Completed
WO-00000095,ASSET-000014,Corrective,2023-03-27,2023-04-16,TECH-0010,10.99,Completed
WO-00000096,ASSET-000015,Recall,2023-05-18,2023-06-04,TECH-0023,35.31,Completed
WO-00000097,ASSET-000016,Corrective,2025-04-02,2025-04-26,TECH-0034,30.37,Completed
WO-00000098,ASSET-000016,Preventive,2024-05-13,,TECH-0046,35.18,In Progress
WO-00000099,ASSET-000016,Preventive,2024-12-23,2025-01-20,TECH-0024,4.87,Completed
WO-00000100,ASSET-000016,Corrective,2024-12-02,2024-12-08,TECH-0047,15.33,Completed
WO-00000101,ASSET-000016,Recall,2025-05-04,2025-05-23,TECH-0001,32.93,Completed
WO-00000102,ASSET-000017,Corrective,2023-02-02,2023-03-02,TECH-0043,29.53,Completed
WO-00000103,ASSET-000017,Preventive,2024-10-12,,TECH-0040,7.8,In Progress
WO-00000104,ASSET-000017,Corrective,2023-01-14,2023-02-01,TECH-0012,36.0,Completed
WO-00000105,ASSET-000017,Inspection,2026-02-16,2026-02-18,TECH-0012,20.01,Completed
WO-00000106,ASSET-000017,Preventive,2023-04-18,2023-04-22,TECH-0000,28.29,Completed
WO-00000107,ASSET-000017,Inspection,2024-02-14,2024-02-20,TECH-0014,32.07,Completed
WO-00000108,ASSET-000017,Preventive,2026-11-16,,TECH-0046,28.27,Open
WO-00000109,ASSET-000017,Inspection,2024-03-27,2024-04-04,TECH-0033,0.71,Completed
WO-00000110,ASSET-000017,Preventive,2025-10-12,2025-10-22,TECH-0014,22.03,Completed
WO-00000111,ASSET-000017,Corrective,2025-09-05,2025-09-19,TECH-0014,0.58,Completed
WO-00000112,ASSET-000017,Recall,2024-02-24,2024-02-26,TECH-0022,30.01,Completed
WO-00000113,ASSET-000018,Preventive,2026-12-14,2026-12-26,TECH-0043,32.19,Completed
WO-00000114,ASSET-000018,Corrective,2023-11-12,2023-11-14,TECH-0008,33.75,Completed
WO-00000115,ASSET-000018,Preventive,2025-06-21,2025-07-08,TECH-0027,35.42,Completed
WO-00000116,ASSET-000018,Inspection,2024-10-12,2024-10-27,TECH-0036,20.18,Completed
WO-00000117,ASSET-000019,Corrective,2024-06-03,2024-06-15,TECH-0006,23.91,Completed
WO-00000118,ASSET-000019,Corrective,2024-05-27,2024-05-28,TECH-0021,35.12,Completed
WO-00000119,ASSET-000019,Corrective,2025-06-24,2025-07-01,TECH-0021,17.64,Completed
WO-00000120,ASSET-000019,Corrective,2026-09-28,2026-09-29,TECH-0044,13.83,Completed
WO-00000121,ASSET-000019,Corrective,2025-04-07,2025-05-07,TECH-0011,22.76,Completed
WO-00000122,ASSET-000019,Recall,2026-06-25,2026-07-19,TECH-0029,27.68,Completed
WO-00000123,ASSET-000019,Corrective,2025-04-04,2025-04-07,TECH-0009,5.57,Completed
WO-00000124,ASSET-000019,Corrective,2025-03-01,2025-03-24,TECH-0042,18.3,Completed
WO-00000125,ASSET-000019,Inspection,2025-02-27,,TECH-0001,39.9,Open
WO-00000126,ASSET-000019,Corrective,2026-06-12,,TECH-0030,8.02,In Progress
WO-00000127,ASSET-000020,Corrective,2023-01-18,2023-02-03,TECH-0034,1.79,Completed
WO-00000128,ASSET-000020,Preventive,2025-04-26,2025-05-16,TECH-0027,37.95,Completed
WO-00000129,ASSET-000020,Corrective,2026-12-24,2027-01-13,TECH-0002,14.59,Completed
WO-00000130,ASSET-000020,Corrective,2024-07-16,2024-07-29,TECH-0002,8.83,Completed
WO-00000131,ASSET-000020,Corrective,2026-03-10,,TECH-0010,19.07,Open
WO-00000132,ASSET-000020,Preventive,2026-03-18,2026-03-20,TECH-0034,18.85,Completed
WO-00000133,ASSET-000020,Recall,2023-07-02,2023-07-17,TECH-0022,27.36,Completed
WO-00000134,ASSET-000021,Preventive,2025-09-19,2025-10-05,TECH-0021,29.95,Completed
WO-00000135,ASSET-000021,Corrective,2026-02-08,2026-02-10,TECH-0025,29.51,Completed
WO-00000136,ASSET-000021,Preventive,2026-04-02,2026-04-13,TECH-0008,10.96,Completed
WO-00000137,ASSET-000021,Preventive,2025-11-25,2025-12-20,TECH-0000,31.82,Completed
WO-00000138,ASSET-000021,Preventive,2025-09-23,2025-10-04,TECH-0027,13.57,Completed
WO-00000139,ASSET-000021,Corrective,2023-06-02,2023-06-20,TECH-0037,16.04,Completed
WO-00000140,ASSET-000021,Preventive,2024-11-09,2024-11-12,TECH-0030,19.56,Completed
WO-00000141,ASSET-000021,Inspection,2023-11-17,2023-11-30,TECH-0049,36.27,Completed
WO-00000142,ASSET-000022,Preventive,2024-08-01,2024-08-09,TECH-0011,22.18,Completed
WO-00000143,ASSET-000022,Corrective,2025-09-28,2025-10-17,TECH-0010,35.54,Completed
WO-00000144,ASSET-000022,Corrective,2026-06-10,2026-07-05,TECH-0007,28.44,Completed
WO-00000145,ASSET-000022,Inspection,2026-08-01,2026-08-17,TECH-0021,28.59,Completed
WO-00000146,ASSET-000022,Corrective,2023-11-12,2023-11-15,TECH-0023,16.71,Completed
WO-00000147,ASSET-000023,Preventive,2026-12-19,2027-01-04,TECH-0039,25.49,Completed
WO-00000148,ASSET-000023,Recall,2023-01-18,2023-01-29,TECH-0006,36.13,Completed
WO-00000149,ASSET-000023,Corrective,2023-04-04,2023-04-07,TECH-0033,17.22,Completed
WO-00000150,ASSET-000023,Corrective,2025-08-06,2025-08-29,TECH-0036,24.48,Completed
WO-00000151,ASSET-000023,Preventive,2026-06-04,2026-06-12,TECH-0005,28.41,Completed
WO-00000152,ASSET-000023,Corrective,2025-12-02,2025-12-19,TECH-0021,19.3,Completed
WO-00000153,ASSET-000023,Corrective,2025-06-13,2025-06-25,TECH-0043,12.95,Completed
WO-00000154,ASSET-000023,Corrective,2026-03-12,,TECH-0037,5.82,Open
WO-00000155,ASSET-000023,Recall,2023-11-14,2023-11-25,TECH-0014,22.21,Completed
WO-00000156,ASSET-000023,Corrective,2026-04-24,2026-05-16,TECH-0006,19.18,Completed
WO-00000157,ASSET-000023,Recall,2023-06-16,,TECH-0008,6.2,Open
WO-00000158,ASSET-000023,Recall,2025-04-22,2025-05-04,TECH-0015,3.42,Completed
WO-00000159,ASSET-000024,Corrective,2026-05-22,2026-05-25,TECH-0007,18.24,Completed
WO-00000160,ASSET-000024,Recall,2025-05-24,2025-06-05,TECH-0040,6.83,Completed
WO-00000161,ASSET-000024,Corrective,2023-01-06,2023-01-21,TECH-0046,30.3,Completed
WO-00000162,ASSET-000024,Corrective,2024-08-03,2024-08-13,TECH-0023,15.4,Completed
WO-00000163,ASSET-000024,Preventive,2025-02-09,2025-03-02,TECH-0025,26.46,Completed
WO-00000164,ASSET-000025,Preventive,2023-07-04,2023-07-30,TECH-0049,13.32,Completed
WO-00000165,ASSET-000025,Inspection,2023-03-24,2023-03-26,TECH-0013,6.87,Completed
WO-00000166,ASSET-000026,Preventive,2025-12-13,2025-12-15,TECH-0018,20.71,Completed
WO-00000167,ASSET-000026,Preventive,2023-05-18,2023-06-15,TECH-0025,32.95,Completed
WO-00000168,ASSET-000026,Corrective,2023-05-19,2023-05-23,TECH-0044,20.63,Completed
WO-00000169,ASSET-000027,Corrective,2025-06-04,2025-06-22,TECH-0043,17.44,Completed
WO-00000170,ASSET-000027,Corrective,2026-07-15,,TECH-0019,30.04,In Progress
WO-00000171,ASSET-000027,Recall,2024-02-19,2024-03-16,TECH-0017,12.34,Completed
WO-00000172,ASSET-000028,Corrective,2024-11-13,2024-12-01,TECH-0023,20.01,Completed
WO-00000173,ASSET-000028,Corrective,2025-01-16,2025-02-04,TECH-0042,0.8,Completed
WO-00000174,ASSET-000028,Corrective,2025-04-04,2025-04-26,TECH-0006,28.1,Completed
WO-00000175,ASSET-000028,Recall,2023-09-07,2023-09-17,TECH-0033,12.18,Completed
WO-00000176,ASSET-000028,Corrective,2025-05-18,2025-05-21,TECH-0030,19.55,Completed
WO-00000177,ASSET-000028,Preventive,2025-12-25,2026-01-08,TECH-0028,31.71,Completed
WO-00000178,ASSET-000028,Corrective,2025-02-09,,TECH-0033,21.91,Open
WO-00000179,ASSET-000028,Preventive,2023-05-02,2023-05-20,TECH-0019,25.25,Completed
WO-00000180,ASSET-000028,Corrective,2024-10-16,,TECH-0021,30.68,In Progress
WO-00000181,ASSET-000028,Corrective,2026-07-03,2026-07-13,TECH-0043,0.59,Completed
WO-00000182,ASSET-000029,Inspection,2023-06-04,,TECH-0043,28.53,Open
WO-00000183,ASSET-000029,Corrective,2023-11-28,2023-12-20,TECH-0041,1.95,Completed
WO-00000184,ASSET-000030,Recall,2024-12-26,2025-01-12,TECH-0027,16.68,Completed
WO-00000185,ASSET-000030,Corrective,2026-06-23,2026-07-13,TECH-0017,9.25,Completed
WO-00000186,ASSET-000030,Preventive,2026-12-25,2027-01-12,TECH-0003,8.38,Completed
WO-00000187,ASSET-000030,Preventive,2025-04-20,2025-05-02,TECH-0035,28.69,Completed
WO-00000188,ASSET-000030,Preventive,2024-09-04,2024-09-12,TECH-0011,6.77,Completed
WO-00000189,ASSET-000030,Preventive,2023-10-02,,TECH-0008,37.95,In Progress
WO-00000190,ASSET-000030,Preventive,2023-01-26,2023-02-12,TECH-0044,31.52,Completed
WO-00000191,ASSET-000030,Preventive,2025-01-17,2025-01-27,TECH-0044,15.69,Completed
WO-00000192,ASSET-000030,Corrective,2026-05-06,2026-05-10,TECH-0026,15.94,Completed
WO-00000193,ASSET-000031,Corrective,2026-03-03,2026-03-17,TECH-0014,15.11,Completed
WO-00000194,ASSET-000031,Preventive,2023-01-20,2023-01-25,TECH-0011,35.04,Completed
WO-00000195,ASSET-000031,Preventive,2023-03-02,,TECH-0005,39.78,Open
WO-00000196,ASSET-000031,Preventive,2026-08-20,2026-08-27,TECH-0023,15.98,Completed
WO-00000197,ASSET-000031,Preventive,2026-12-16,2027-01-12,TECH-0016,17.83,Completed
WO-00000198,ASSET-000031,Corrective,2023-04-07,,TECH-0029,4.15,In Progress
WO-00000199,ASSET-000032,Preventive,2026-01-05,2026-01-10,TECH-0008,35.0,Completed
WO-00000200,ASSET-000032,Recall,2025-09-28,2025-10-05,TECH-0035,31.57,Completed
WO-00000201,ASSET-000033,Corrective,2026-03-12,2026-03-20,TECH-0030,29.64,Completed
WO-00000202,ASSET-000033,Preventive,2025-08-28,2025-09-03,TECH-0013,1.14,Completed
WO-00000203,ASSET-000033,Corrective,2025-10-22,2025-11-13,TECH-0021,5.78,Completed
WO-00000204,ASSET-000033,Recall,2024-04-06,2024-04-17,TECH-0030,35.34,Completed
WO-00000205,ASSET-000033,Corrective,2023-09-14,2023-10-10,TECH-0007,18.93,Completed
WO-00000206,ASSET-000034,Inspection,2025-01-06,2025-01-18,TECH-0033,25.88,Completed
WO-00000207,ASSET-000034,Recall,2025-09-19,2025-09-29,TECH-0004,3.02,Completed
WO-00000208,ASSET-000034,Preventive,2026-05-23,2026-05-28,TECH-0049,22.34,Completed
WO-00000209,ASSET-000035,Corrective,2023-12-04,2023-12-26,TECH-0004,24.06,Completed
WO-00000210,ASSET-000036,Corrective,2026-01-18,2026-02-01,TECH-0043,14.63,Completed
WO-00000211,ASSET-000036,Preventive,2024-04-01,2024-04-25,TECH-0048,6.38,Completed
WO-00000212,ASSET-000036,Corrective,2025-01-22,2025-02-09,TECH-0024,22.91,Completed
WO-00000213,ASSET-000036,Preventive,2023-11-22,2023-12-02,TECH-0011,27.17,Completed
WO-00000214,ASSET-000036,Corrective,2023-09-03,2023-09-12,TECH-0032,18.49,Completed
WO-00000215,ASSET-000036,Corrective,2024-09-07,2024-09-28,TECH-0024,37.07,Completed
WO-00000216,ASSET-000036,Inspection,2025-05-03,2025-05-28,TECH-0037,18.73,Completed
WO-00000217,ASSET-000036,Corrective,2025-10-16,2025-10-29,TECH-0042,28.15,Completed
WO-00000218,ASSET-000036,Corrective,2024-04-16,2024-04-26,TECH-0018,13.86,Completed
WO-00000219,ASSET-000037,Recall,2026-05-15,,TECH-0035,7.46,In Progress
WO-00000220,ASSET-000037,Corrective,2023-02-10,2023-02-18,TECH-0003,33.08,Completed
WO-00000221,ASSET-000037,Inspection,2023-09-11,,TECH-0040,33.89,In Progress
WO-00000222,ASSET-000037,Corrective,2024-03-08,2024-03-19,TECH-0014,7.22,Completed
WO-00000223,ASSET-000037,Corrective,2024-09-25,2024-10-17,TECH-0011,19.04,Completed
WO-00000224,ASSET-000037,Preventive,2025-06-14,2025-06-20,TECH-0025,23.32,Completed
WO-00000225,ASSET-000037,Preventive,2025-11-07,2025-12-04,TECH-0036,3.92,Completed
WO-00000226,ASSET-000037,Recall,2023-09-12,2023-10-07,TECH-0047,32.2,Completed
WO-00000227,ASSET-000038,Corrective,2024-01-27,2024-01-31,TECH-0018,36.35,Completed
WO-00000228,ASSET-000038,Corrective,2024-11-22,2024-12-04,TECH-0026,13.34,Completed
WO-00000229,ASSET-000038,Preventive,2024-08-01,2024-08-12,TECH-0035,18.4,Completed
WO-00000230,ASSET-000038,Recall,2026-03-03,2026-03-27,TECH-0003,32.86,Completed
WO-00000231,ASSET-000038,Corrective,2024-06-25,2024-07-05,TECH-0048,18.12,Completed
WO-00000232,ASSET-000038,Preventive,2023-11-07,2023-12-04,TECH-0028,39.53,Completed
WO-00000233,ASSET-000039,Inspection,2024-07-25,2024-08-02,TECH-0045,26.2,Completed
WO-00000234,ASSET-000039,Inspection,2026-08-16,2026-08-25,TECH-0018,25.64,Completed
WO-00000235,ASSET-000039,Preventive,2025-09-04,,TECH-0049,16.51,Open
WO-00000236,ASSET-000040,Preventive,2023-07-02,2023-07-24,TECH-0047,34.27,Completed
WO-00000237,ASSET-000041,Recall,2024-01-05,,TECH-0041,12.05,In Progress
WO-00000238,ASSET-000041,Corrective,2024-12-15,2025-01-11,TECH-0007,33.98,Completed
WO-00000239,ASSET-000041,Corrective,2023-01-09,2023-01-28,TECH-0039,34.76,Completed
WO-00000240,ASSET-000041,Inspection,2025-10-23,2025-10-30,TECH-0035,34.33,Completed
WO-00000241,ASSET-000041,Corrective,2023-04-08,2023-05-06,TECH-0018,2.07,Completed
WO-00000242,ASSET-000041,Preventive,2023-09-09,2023-09-17,TECH-0025,34.98,Completed
WO-00000243,ASSET-000041,Corrective,2023-06-02,2023-06-25,TECH-0032,38.37,Completed
WO-00000244,ASSET-000041,Preventive,2024-09-13,2024-09-24,TECH-0016,3.02,Completed
WO-00000245,ASSET-000041,Corrective,2026-11-25,2026-12-23,TECH-0016,24.94,Completed
WO-00000246,ASSET-000041,Corrective,2024-04-07,,TECH-0012,7.92,Open
WO-00000247,ASSET-000041,Recall,2023-07-12,2023-08-02,TECH-0049,11.89,Completed
WO-00000248,ASSET-000042,Preventive,2026-04-02,2026-04-21,TECH-0033,24.62,Completed
WO-00000249,ASSET-000042,Preventive,2026-10-25,2026-11-17,TECH-0042,36.34,Completed
WO-00000250,ASSET-000042,Preventive,2023-04-02,2023-04-12,TECH-0049,26.08,Completed
WO-00000251,ASSET-000042,Corrective,2025-02-08,2025-02-15,TECH-0028,15.26,Completed
WO-00000252,ASSET-000042,Recall,2025-12-04,2025-12-18,TECH-0003,22.41,Completed
WO-00000253,ASSET-000042,Preventive,2023-03-01,2023-03-05,TECH-0048,35.2,Completed
WO-00000254,ASSET-000043,Recall,2023-06-04,2023-06-22,TECH-0040,22.87,Completed
WO-00000255,ASSET-000043,Recall,2024-06-12,2024-06-28,TECH-0030,4.02,Completed
WO-00000256,ASSET-000043,Corrective,2024-05-18,2024-05-20,TECH-0049,38.71,Completed
WO-00000257,ASSET-000043,Corrective,2024-07-04,,TECH-0005,25.08,Open
WO-00000258,ASSET-000043,Preventive,2025-06-22,2025-07-12,TECH-0010,1.85,Completed
WO-00000259,ASSET-000043,Inspection,2024-04-08,2024-05-08,TECH-0048,35.02,Completed
WO-00000260,ASSET-000043,Corrective,2024-09-15,,TECH-0024,39.75,Open
WO-00000261,ASSET-000043,Corrective,2023-02-11,2023-02-26,TECH-0017,22.65,Completed
WO-00000262,ASSET-000044,Corrective,2023-01-05,2023-01-21,TECH-0044,4.33,Completed
WO-00000263,ASSET-000044,Corrective,2025-07-11,2025-08-06,TECH-0045,13.23,Completed
WO-00000264,ASSET-000044,Preventive,2026-10-18,2026-11-15,TECH-0023,29.09,Completed
WO-00000265,ASSET-000044,Preventive,2024-08-03,2024-08-09,TECH-0017,3.16,Completed
WO-00000266,ASSET-000045,Preventive,2023-01-06,2023-01-18,TECH-0027,32.67,Completed
WO-00000267,ASSET-000045,Recall,2025-11-20,2025-12-04,TECH-0033,3.7,Completed
WO-00000268,ASSET-000045,Corrective,2023-05-20,2023-06-01,TECH-0023,37.35,Completed
WO-00000269,ASSET-000045,Inspection,2024-02-16,2024-03-05,TECH-0002,0.87,Completed
WO-00000270,ASSET-000045,Corrective,2025-01-21,2025-01-25,TECH-0038,10.87,Completed
WO-00000271,ASSET-000045,Corrective,2025-04-01,2025-04-28,TECH-0022,24.65,Completed
WO-00000272,ASSET-000045,Corrective,2025-02-12,2025-03-07,TECH-0024,21.91,Completed
WO-00000273,ASSET-000045,Recall,2024-10-26,2024-11-07,TECH-0004,12.11,Completed
WO-00000274,ASSET-000045,Preventive,2025-09-20,2025-10-19,TECH-0029,24.02,Completed
WO-00000275,ASSET-000045,Recall,2023-12-18,2023-12-25,TECH-0046,11.05,Completed
WO-00000276,ASSET-000045,Preventive,2024-06-13,2024-06-20,TECH-0005,28.19,Completed
WO-00000277,ASSET-000045,Preventive,2025-12-24,2026-01-14,TECH-0029,32.92,Completed
WO-00000278,ASSET-000046,Preventive,2023-12-03,2023-12-14,TECH-0020,36.91,Completed
WO-00000279,ASSET-000046,Corrective,2024-07-27,2024-08-10,TECH-0007,12.11,Completed
WO-00000280,ASSET-000046,Corrective,2026-10-23,2026-10-31,TECH-0002,14.44,Completed
WO-00000281,ASSET-000046,Corrective,2026-03-05,2026-04-02,TECH-0023,17.71,Completed
WO-00000282,ASSET-000046,Corrective,2025-02-14,,TECH-0004,32.33,Open
WO-00000283,ASSET-000046,Preventive,2025-07-05,2025-08-04,TECH-0044,2.42,Completed
WO-00000284,ASSET-000046,Corrective,2024-05-12,2024-06-06,TECH-0032,3.25,Completed
WO-00000285,ASSET-000046,Recall,2023-05-14,2023-06-12,TECH-0032,20.48,Completed
WO-00000286,ASSET-000046,Preventive,2026-07-05,2026-08-03,TECH-0020,30.68,Completed
WO-00000287,ASSET-000047,Preventive,2023-01-26,2023-01-30,TECH-0030,11.52,Completed
WO-00000288,ASSET-000047,Recall,2026-11-08,2026-12-02,TECH-0008,16.38,Completed
WO-00000289,ASSET-000047,Inspection,2026-09-06,2026-09-22,TECH-0012,21.48,Completed
